bank_txn_id,credit_amount,value_date,narration,utr
bank_99_000_0,71852.39,2026-06-04,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR9900007618 SVC CHG,UTR9900007618
bank_99_001_0,88567.84,2026-06-06,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR9900017530 SVC CHG,UTR9900017530
bank_99_002_0,69245.96,2026-06-07,UPI/UTR9900027269/SETTLEMENT/RAZORPAY,UTR9900027269
bank_99_002_1,69245.96,2026-06-08,UPI/UTR9900027269/SETTLEMENT/RAZORPAY,UTR9900027269
bank_99_003_0,44901.88,2026-06-10,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR9900032283 SVC CHG,UTR9900032283
bank_99_004_0,60525.04,2026-06-10,NEFT-UTR9900042751-RAZORPAY SOFTWARE PVT LTD,
bank_99_005_0,67726.43,2026-06-13,UPI/UTR9900053112/SETTLEMENT/RAZORPAY,UTR9900053112
bank_99_006_0,38596.19,2026-06-16,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR9900062607 SVC CHG,UTR9900062607
bank_99_007_0,70962.52,2026-06-15,IMPS AXIS REF UTR9900074781 CR PROC CHG,
bank_99_007_1,70962.51,2026-06-16,IMPS AXIS REF UTR9900074781 CR PROC CHG,
bank_99_008_0,102159.38,2026-06-19,UPI/UTR9900087207/SETTLEMENT/RAZORPAY,UTR9900087207
bank_99_009_0,108869.23,2026-06-22,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR9900092801 SVC CHG,UTR9900092801
bank_99_010_0,54976.47,2026-06-22,IMPS AXIS REF UTR9900104327 CR PROC CHG,UTR9900104327
bank_99_011_0,69605.14,2026-06-25,KKBK NEFT REF 9900116071 RAZORPAY SOFTWARE SETTLEMENT,UTR9900116071
bank_99_012_0,106965.63,2026-06-25,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,
bank_99_013_0,68529.65,2026-06-29,KKBK NEFT REF 9900136161 RAZORPAY SOFTWARE SETTLEMENT,UTR9900136161
bank_99_014_0,49484.75,2026-07-02,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,
bank_99_015_0,70176.35,2026-07-04,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR9900152864 SVC CHG,
bank_99_016_0,46318.03,2026-07-05,KKBK NEFT REF 9900167854 RAZORPAY SOFTWARE SETTLEMENT,UTR9900167854
bank_99_017_0,58107.74,2026-07-08,NEFT-UTR9900171338-RAZORPAY SOFTWARE PVT LTD,UTR9900171338
bank_99_017_1,58107.74,2026-07-09,NEFT-UTR9900171338-RAZORPAY SOFTWARE PVT LTD,UTR9900171338
bank_99_018_0,53460.07,2026-07-09,NEFT-UTR9900189740-RAZORPAY SOFTWARE PVT LTD,
bank_99_019_0,120351.25,2026-07-12,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR9900194312 SVC CHG,UTR9900194312
bank_99_020_0,109544.11,2026-07-13,UPI/UTR9900205267/SETTLEMENT/RAZORPAY,UTR9900205267
bank_99_021_0,59116.07,2026-07-15,UPI/UTR9900218262/SETTLEMENT/RAZORPAY,UTR9900218262
bank_99_022_0,48190.21,2026-07-17,KKBK NEFT REF 9900222656 RAZORPAY SOFTWARE SETTLEMENT,
bank_99_023_0,133836.64,2026-07-18,NEFT-UTR9900231611-RAZORPAY SOFTWARE PVT LTD,
bank_99_024_0,95102.95,2026-07-20,NEFT-UTR9900247916-RAZORPAY SOFTWARE PVT LTD,
bank_99_025_0,89626.90,2026-07-23,KKBK NEFT REF 9900258425 RAZORPAY SOFTWARE SETTLEMENT,UTR9900258425
bank_99_026_0,46779.22,2026-07-24,NEFT-UTR9900264869-RAZORPAY SOFTWARE PVT LTD,
bank_99_026_1,46779.23,2026-07-25,NEFT-UTR9900264869-RAZORPAY SOFTWARE PVT LTD,
bank_99_027_0,109406.58,2026-07-25,IMPS AXIS REF UTR9900272505 CR PROC CHG,
bank_99_028_0,97174.28,2026-07-29,KKBK NEFT REF 9900287107 RAZORPAY SOFTWARE SETTLEMENT,
bank_99_029_0,77134.89,2026-07-31,KKBK NEFT REF 9900291054 RAZORPAY SOFTWARE SETTLEMENT,
bank_99_030_0,79600.86,2026-08-02,MERCHANT SETTLEMENT CREDIT,
bank_99_031_0,65251.30,2026-08-04,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,
bank_99_031_1,65251.29,2026-08-05,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,
bank_99_032_0,57261.21,2026-08-06,UPI/UTR9900322522/SETTLEMENT/RAZORPAY,UTR9900322522
bank_99_033_0,81468.76,2026-08-08,KKBK NEFT REF 9900332078 RAZORPAY SOFTWARE SETTLEMENT,UTR9900332078
bank_99_034_0,97679.95,2026-08-10,KKBK NEFT REF 9900345425 RAZORPAY SOFTWARE SETTLEMENT,UTR9900345425
bank_99_035_0,148595.17,2026-08-10,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,
bank_99_036_0,93954.20,2026-08-14,MERCHANT SETTLEMENT CREDIT,
bank_99_037_0,68604.06,2026-08-16,UPI/UTR9900375977/SETTLEMENT/RAZORPAY,
bank_99_038_0,104099.41,2026-08-18,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,
bank_99_039_0,49172.68,2026-08-20,KKBK NEFT REF 9900393767 RAZORPAY SOFTWARE SETTLEMENT,
