order_id,txn_id,gross_amount,created_at,status
ord_99_00001,pay_99_00001,10071.00,2026-05-30,captured
ord_99_00003,pay_99_00003,7158.99,2026-05-30,captured
ord_99_00004,pay_99_00004,11072.00,2026-05-30,captured
ord_99_00005,pay_99_00005,4663.49,2026-05-30,captured
ord_99_00006,pay_99_00006,1090.25,2026-05-30,captured
ord_99_00007,pay_99_00007,8494.99,2026-05-30,captured
ord_99_00008,pay_99_00008,2591.25,2026-05-30,captured
ord_99_00009,pay_99_00009,7507.25,2026-05-30,captured
ord_99_00010,pay_99_00010,10074.75,2026-05-30,captured
ord_99_00011,pay_99_00011,2634.00,2026-05-30,captured
ord_99_00012,pay_99_00012,11363.00,2026-05-30,captured
ord_99_00013,pay_99_00013,5352.75,2026-06-01,captured
ord_99_00014,pay_99_00014,11297.99,2026-06-01,captured
ord_99_00015,pay_99_00015,8493.25,2026-06-01,captured
ord_99_00016,pay_99_00016,6956.99,2026-06-01,captured
ord_99_00018,pay_99_00018,11191.00,2026-06-01,captured
ord_99_00019,pay_99_00019,11007.50,2026-06-01,captured
ord_99_00020,pay_99_00020,8624.75,2026-06-01,captured
ord_99_00021,pay_99_00021,10599.75,2026-06-01,captured
ord_99_00023,pay_99_00023,1205.50,2026-06-01,captured
ord_99_00025,pay_99_00025,3072.25,2026-06-01,captured
ord_99_00026,pay_99_00026,8100.49,2026-06-03,captured
ord_99_00027,pay_99_00027,502.00,2026-06-03,captured
ord_99_00028,pay_99_00028,9800.25,2026-06-03,captured
ord_99_00029,pay_99_00029,5036.00,2026-06-03,captured
ord_99_00030,pay_99_00030,11011.25,2026-06-03,captured
ord_99_00031,pay_99_00031,11356.00,2026-06-03,captured
ord_99_00032,pay_99_00032,11996.00,2026-06-03,captured
ord_99_00033,pay_99_00033,3330.25,2026-06-03,captured
ord_99_00034,pay_99_00034,6424.99,2026-06-03,captured
ord_99_00035,pay_99_00035,4106.49,2026-06-03,captured
ord_99_00036,pay_99_00036,7523.25,2026-06-03,captured
ord_99_00039,pay_99_00039,5095.25,2026-06-03,captured
ord_99_00040,pay_99_00040,5606.75,2026-06-03,captured
ord_99_00042,pay_99_00042,7116.49,2026-06-03,captured
