txn_id,settlement_batch_id,utr,txn_type,gross_amount,fee,gst_on_fee,settled_on,order_id,method
pay_99_00001,setl_99_000,UTR9900007618,payment,10071.00,201.42,36.26,2026-06-01,ord_99_00001,upi
rfnd_99_00002,setl_99_000,UTR9900007618,refund,2517.75,0.00,0.00,2026-06-01,ord_99_00001,card
pay_99_00003,setl_99_000,UTR9900007618,payment,7158.99,143.18,25.77,2026-06-01,ord_99_00003,card
pay_99_00004,setl_99_000,UTR9900007618,payment,11072.00,221.44,39.86,2026-06-01,ord_99_00004,netbanking
pay_99_00005,setl_99_000,UTR9900007618,payment,4663.49,93.27,16.79,2026-06-01,ord_99_00005,upi
pay_99_00006,setl_99_000,UTR9900007618,payment,1090.25,21.80,3.92,2026-06-01,ord_99_00006,upi
pay_99_00007,setl_99_000,UTR9900007618,payment,8494.99,169.90,30.58,2026-06-01,ord_99_00007,upi
pay_99_00008,setl_99_000,UTR9900007618,payment,2591.25,51.82,9.33,2026-06-01,ord_99_00008,card
pay_99_00009,setl_99_000,UTR9900007618,payment,7507.25,150.14,27.03,2026-06-01,ord_99_00009,card
pay_99_00010,setl_99_000,UTR9900007618,payment,10074.75,201.50,36.27,2026-06-01,ord_99_00010,card
pay_99_00011,setl_99_000,UTR9900007618,payment,2634.00,52.68,9.48,2026-06-01,ord_99_00011,netbanking
pay_99_00012,setl_99_000,UTR9900007618,payment,11363.00,261.35,47.04,2026-06-01,ord_99_00012,card
pay_99_00013,setl_99_001,UTR9900017530,payment,5352.75,107.06,19.27,2026-06-03,ord_99_00013,card
pay_99_00014,setl_99_001,UTR9900017530,payment,11297.99,225.96,40.67,2026-06-03,ord_99_00014,upi
pay_99_00015,setl_99_001,UTR9900017530,payment,8493.25,169.86,30.57,2026-06-03,ord_99_00015,netbanking
pay_99_00016,setl_99_001,UTR9900017530,payment,6956.99,139.14,25.05,2026-06-03,ord_99_00016,netbanking
pay_99_00017,setl_99_001,UTR9900017530,payment,3436.50,68.73,12.37,2026-06-03,ord_99_00017,upi
pay_99_00018,setl_99_001,UTR9900017530,payment,11191.00,223.82,40.29,2026-06-03,ord_99_00018,card
pay_99_00019,setl_99_001,UTR9900017530,payment,11007.50,220.15,39.63,2026-06-03,ord_99_00019,upi
pay_99_00020,setl_99_001,UTR9900017530,payment,8624.75,172.50,31.05,2026-06-03,ord_99_00020,netbanking
pay_99_00021,setl_99_001,UTR9900017530,payment,10599.75,212.00,38.16,2026-06-03,ord_99_00021,card
pay_99_00022,setl_99_001,UTR9900017530,payment,10599.75,212.00,38.16,2026-06-03,ord_99_00021,card
pay_99_00023,setl_99_001,UTR9900017530,payment,1205.50,24.11,4.34,2026-06-03,ord_99_00023,upi
rfnd_99_00024,setl_99_001,UTR9900017530,refund,602.75,0.00,0.00,2026-06-03,ord_99_00023,card
pay_99_00025,setl_99_001,UTR9900017530,payment,3072.25,61.44,11.06,2026-06-03,ord_99_00025,card
pay_99_00026,setl_99_002,UTR9900027269,payment,8100.49,162.01,29.16,2026-06-05,ord_99_00026,netbanking
pay_99_00027,setl_99_002,UTR9900027269,payment,502.00,10.04,1.81,2026-06-05,ord_99_00027,upi
pay_99_00028,setl_99_002,UTR9900027269,payment,9800.25,196.00,35.28,2026-06-05,ord_99_00028,upi
pay_99_00029,setl_99_002,UTR9900027269,payment,5036.00,100.72,18.13,2026-06-05,ord_99_00029,netbanking
pay_99_00030,setl_99_002,UTR9900027269,payment,11011.25,220.22,39.64,2026-06-05,ord_99_00030,upi
pay_99_00031,setl_99_002,UTR9900027269,payment,11356.00,227.12,40.88,2026-06-05,ord_99_00031,card
pay_99_00032,setl_99_002,UTR9900027269,payment,11996.00,239.92,43.19,2026-06-05,ord_99_00032,card
pay_99_00033,setl_99_002,UTR9900027269,payment,3330.25,66.60,11.99,2026-06-05,ord_99_00033,upi
pay_99_00035,setl_99_002,UTR9900027269,payment,4106.49,82.13,14.78,2026-06-05,ord_99_00035,upi
pay_99_00036,setl_99_002,UTR9900027269,payment,7523.25,150.46,27.08,2026-06-05,ord_99_00036,upi
pay_99_00037,setl_99_002,UTR9900027269,payment,7523.25,150.46,27.08,2026-06-05,ord_99_00036,card
rfnd_99_00038,setl_99_002,UTR9900027269,refund,3761.62,0.00,0.00,2026-06-05,ord_99_00036,card
pay_99_00039,setl_99_002,UTR9900027269,payment,5095.25,101.90,18.34,2026-06-05,ord_99_00039,upi
pay_99_00040,setl_99_002,UTR9900027269,payment,5606.75,112.14,20.19,2026-06-05,ord_99_00040,netbanking
rfnd_99_00041,setl_99_002,UTR9900027269,refund,2803.38,0.00,0.00,2026-06-05,ord_99_00040,card
pay_99_00042,setl_99_002,UTR9900027269,payment,7116.49,142.33,25.62,2026-06-05,ord_99_00042,card
pay_99_00043,setl_99_002,UTR9900027269,payment,9542.00,190.84,34.35,2026-06-05,ord_99_00043,upi
pay_99_00044,setl_99_002,UTR9900027269,payment,4421.00,88.42,15.92,2026-06-05,ord_99_00044,card
pay_99_00045,setl_99_002,UTR9900027269,payment,1462.00,29.24,5.26,2026-06-05,ord_99_00045,card
pay_99_00046,setl_99_002,UTR9900027269,payment,9636.50,192.73,34.69,2026-06-05,ord_99_00046,upi
pay_99_00047,setl_99_002,UTR9900027269,payment,4320.00,86.40,15.55,2026-06-05,ord_99_00047,netbanking
pay_99_00048,setl_99_002,UTR9900027269,payment,4095.00,81.90,14.74,2026-06-05,ord_99_00048,card
pay_99_00049,setl_99_002,UTR9900027269,payment,5725.50,114.51,20.61,2026-06-05,ord_99_00049,upi
pay_99_00051,setl_99_002,UTR9900027269,payment,11257.25,225.14,40.53,2026-06-05,ord_99_00051,upi
rfnd_99_00050,setl_99_003,,refund,2862.75,0.00,0.00,2026-06-07,ord_99_00049,card
pay_99_00052,setl_99_003,,payment,6129.25,122.58,22.06,2026-06-07,ord_99_00052,netbanking
pay_99_00053,setl_99_003,,payment,4442.75,133.28,23.99,2026-06-07,ord_99_00053,intl_card
pay_99_00054,setl_99_003,,payment,8395.50,167.91,30.22,2026-06-07,ord_99_00054,card
pay_99_00056,setl_99_003,,payment,794.00,15.88,2.86,2026-06-07,ord_99_00056,upi
pay_99_00057,setl_99_003,,payment,8802.00,176.04,31.69,2026-06-07,ord_99_00057,card
hold_99_00058,setl_99_003,,chargeback_hold,4401.00,0.00,0.00,2026-06-07,ord_99_00057,card
pay_99_00059,setl_99_003,,payment,11783.50,235.67,42.42,2026-06-07,ord_99_00059,upi
pay_99_00060,setl_99_003,,payment,1984.25,39.68,7.14,2026-06-07,ord_99_00060,upi
pay_99_00061,setl_99_003,,payment,11661.00,233.22,41.98,2026-06-07,ord_99_00061,upi
rfnd_99_00055,setl_99_004,,refund,2098.88,0.00,0.00,2026-06-09,ord_99_00054,card
pay_99_00062,setl_99_004,,payment,4950.00,99.00,17.82,2026-06-09,ord_99_00062,netbanking
pay_99_00063,setl_99_004,,payment,7108.50,142.17,25.59,2026-06-09,ord_99_00063,card
pay_99_00064,setl_99_004,,payment,2275.00,45.50,8.19,2026-06-09,ord_99_00064,card
pay_99_00065,setl_99_004,,payment,8468.25,169.36,30.48,2026-06-09,ord_99_00065,netbanking
pay_99_00066,setl_99_004,,payment,8482.00,169.64,30.54,2026-06-09,ord_99_00066,card
pay_99_00067,setl_99_004,,payment,6796.49,156.32,28.14,2026-06-09,ord_99_00067,card
hold_99_00068,setl_99_004,,chargeback_hold,3398.24,0.00,0.00,2026-06-09,ord_99_00067,card
rfnd_99_00069,setl_99_004,,refund,6796.49,0.00,0.00,2026-06-09,ord_99_00067,card
pay_99_00070,setl_99_004,,payment,2126.00,42.52,7.65,2026-06-09,ord_99_00070,card
rfnd_99_00071,setl_99_004,,refund,2126.00,0.00,0.00,2026-06-09,ord_99_00070,card
pay_99_00072,setl_99_004,,payment,3821.25,76.42,13.76,2026-06-09,ord_99_00072,upi
pay_99_00073,setl_99_004,,payment,2391.00,47.82,8.61,2026-06-09,ord_99_00073,card
pay_99_00074,setl_99_004,,payment,8820.49,176.41,31.75,2026-06-09,ord_99_00074,upi
pay_99_00075,setl_99_004,,payment,5275.00,105.50,18.99,2026-06-09,ord_99_00075,upi
pay_99_00076,setl_99_004,,payment,5048.75,100.98,18.18,2026-06-09,ord_99_00076,upi
rfnd_99_00077,setl_99_004,,refund,2524.38,0.00,0.00,2026-06-09,ord_99_00076,card
pay_99_00078,setl_99_004,,payment,10665.00,213.30,38.39,2026-06-09,ord_99_00078,upi
pay_99_00079,setl_99_004,,payment,6432.25,128.64,23.16,2026-06-09,ord_99_00079,upi
rfnd_99_00080,setl_99_004,,refund,3216.12,0.00,0.00,2026-06-09,ord_99_00079,card
pay_99_00081,setl_99_005,UTR9900053112,payment,2374.25,71.23,12.82,2026-06-11,ord_99_00081,intl_card
pay_99_00082,setl_99_005,UTR9900053112,payment,6988.49,139.77,25.16,2026-06-11,ord_99_00082,card
pay_99_00083,setl_99_005,UTR9900053112,payment,3993.50,79.87,14.38,2026-06-11,ord_99_00083,card
pay_99_00084,setl_99_005,UTR9900053112,payment,1395.25,27.90,5.02,2026-06-11,ord_99_00084,card
rfnd_99_00085,setl_99_005,UTR9900053112,refund,1395.25,0.00,0.00,2026-06-11,ord_99_00084,card
pay_99_00086,setl_99_005,UTR9900053112,payment,505.50,10.11,1.82,2026-06-11,ord_99_00086,upi
hold_99_00087,setl_99_005,UTR9900053112,chargeback_hold,252.75,0.00,0.00,2026-06-11,ord_99_00086,upi
pay_99_00088,setl_99_005,UTR9900053112,payment,2800.99,56.02,10.08,2026-06-11,ord_99_00088,upi
pay_99_00089,setl_99_005,UTR9900053112,payment,784.25,15.68,2.82,2026-06-11,ord_99_00089,upi
pay_99_00090,setl_99_005,UTR9900053112,payment,4906.49,98.13,17.66,2026-06-11,ord_99_00090,upi
pay_99_00091,setl_99_005,UTR9900053112,payment,3541.99,70.84,12.75,2026-06-11,ord_99_00091,upi
pay_99_00092,setl_99_005,UTR9900053112,payment,4514.49,103.83,18.69,2026-06-11,ord_99_00092,upi
pay_99_00093,setl_99_005,UTR9900053112,payment,11917.75,238.36,42.90,2026-06-11,ord_99_00093,upi
pay_99_00094,setl_99_005,UTR9900053112,payment,6386.75,127.74,22.99,2026-06-11,ord_99_00094,upi
pay_99_00095,setl_99_005,UTR9900053112,payment,3155.25,63.10,11.36,2026-06-11,ord_99_00095,card
pay_99_00096,setl_99_005,UTR9900053112,payment,3723.49,74.47,13.40,2026-06-11,ord_99_00096,upi
pay_99_00097,setl_99_005,UTR9900053112,payment,1304.00,26.08,4.69,2026-06-11,ord_99_00097,upi
pay_99_00098,setl_99_005,UTR9900053112,payment,4019.25,80.38,14.47,2026-06-11,ord_99_00098,upi
pay_99_00099,setl_99_005,UTR9900053112,payment,5808.49,116.17,20.91,2026-06-11,ord_99_00099,upi
pay_99_00100,setl_99_005,UTR9900053112,payment,3012.49,90.37,16.27,2026-06-11,ord_99_00100,intl_card
pay_99_00101,setl_99_006,UTR9900062607,payment,11321.50,226.43,40.76,2026-06-13,ord_99_00101,upi
pay_99_00102,setl_99_006,UTR9900062607,payment,2320.75,46.42,8.36,2026-06-13,ord_99_00102,upi
rfnd_99_00103,setl_99_006,UTR9900062607,refund,580.19,0.00,0.00,2026-06-13,ord_99_00102,card
pay_99_00104,setl_99_006,UTR9900062607,payment,2442.00,48.84,8.79,2026-06-13,ord_99_00104,card
rfnd_99_00105,setl_99_006,UTR9900062607,refund,2442.00,0.00,0.00,2026-06-13,ord_99_00104,card
pay_99_00106,setl_99_006,UTR9900062607,payment,3635.00,90.88,16.36,2026-06-13,ord_99_00106,card
pay_99_00107,setl_99_006,UTR9900062607,payment,5038.00,100.76,18.14,2026-06-13,ord_99_00107,card
pay_99_00108,setl_99_006,UTR9900062607,payment,6802.75,136.06,24.49,2026-06-13,ord_99_00108,upi
pay_99_00109,setl_99_006,UTR9900062607,payment,10810.50,248.64,44.76,2026-06-13,ord_99_00109,card
rfnd_99_00110,setl_99_006,UTR9900062607,refund,5405.25,0.00,0.00,2026-06-13,ord_99_00109,card
pay_99_00111,setl_99_006,UTR9900062607,payment,6362.99,127.26,22.91,2026-06-13,ord_99_00111,netbanking
pay_99_00112,setl_99_007,UTR9900074781,payment,9073.00,181.46,32.66,2026-06-15,ord_99_00112,upi
pay_99_00113,setl_99_007,UTR9900074781,payment,3868.75,77.38,13.93,2026-06-15,ord_99_00113,upi
rfnd_99_00114,setl_99_007,UTR9900074781,refund,1934.38,0.00,0.00,2026-06-15,ord_99_00113,card
pay_99_00115,setl_99_007,UTR9900074781,payment,6427.25,128.54,23.14,2026-06-15,ord_99_00115,card
pay_99_00116,setl_99_007,UTR9900074781,payment,2793.00,55.86,10.05,2026-06-15,ord_99_00116,upi
pay_99_00117,setl_99_007,UTR9900074781,payment,4167.00,83.34,15.00,2026-06-15,ord_99_00117,upi
pay_99_00118,setl_99_007,UTR9900074781,payment,11486.00,229.72,41.35,2026-06-15,ord_99_00118,upi
pay_99_00119,setl_99_007,UTR9900074781,payment,7264.75,145.30,26.15,2026-06-15,ord_99_00119,card
pay_99_00120,setl_99_007,UTR9900074781,payment,8746.00,174.92,31.49,2026-06-15,ord_99_00120,card
pay_99_00121,setl_99_007,UTR9900074781,payment,3112.00,93.36,16.80,2026-06-15,ord_99_00121,intl_card
pay_99_00122,setl_99_007,UTR9900074781,payment,3112.00,62.24,11.20,2026-06-15,ord_99_00121,card
pay_99_00125,setl_99_007,UTR9900074781,payment,4659.75,93.20,16.78,2026-06-15,ord_99_00125,netbanking
pay_99_00126,setl_99_007,UTR9900074781,payment,8648.50,172.97,31.13,2026-06-15,ord_99_00126,upi
pay_99_00127,setl_99_007,UTR9900074781,payment,11254.00,225.08,40.51,2026-06-15,ord_99_00127,upi
pay_99_00128,setl_99_007,UTR9900074781,payment,3713.00,74.26,13.37,2026-06-15,ord_99_00128,upi
pay_99_00129,setl_99_007,UTR9900074781,payment,1518.49,30.37,5.47,2026-06-15,ord_99_00129,netbanking
pay_99_00130,setl_99_007,UTR9900074781,payment,11341.49,226.83,40.83,2026-06-15,ord_99_00130,upi
pay_99_00131,setl_99_007,UTR9900074781,payment,7863.49,157.27,28.31,2026-06-15,ord_99_00131,upi
pay_99_00132,setl_99_007,UTR9900074781,payment,1369.75,27.40,4.93,2026-06-15,ord_99_00132,netbanking
pay_99_00133,setl_99_007,UTR9900074781,payment,11055.25,221.10,39.80,2026-06-15,ord_99_00133,card
pay_99_00134,setl_99_007,UTR9900074781,payment,8591.99,171.84,30.93,2026-06-15,ord_99_00134,upi
pay_99_00135,setl_99_007,UTR9900074781,payment,5875.25,117.50,21.15,2026-06-15,ord_99_00135,card
pay_99_00136,setl_99_007,UTR9900074781,payment,11689.49,233.79,42.08,2026-06-15,ord_99_00136,upi
rfnd_99_00124,setl_99_008,UTR9900087207,refund,3112.00,0.00,0.00,2026-06-17,ord_99_00121,card
pay_99_00137,setl_99_008,UTR9900087207,payment,9042.25,180.84,32.55,2026-06-17,ord_99_00137,card
pay_99_00138,setl_99_008,UTR9900087207,payment,647.75,12.96,2.33,2026-06-17,ord_99_00138,card
pay_99_00139,setl_99_008,UTR9900087207,payment,9821.49,196.43,35.36,2026-06-17,ord_99_00139,card
pay_99_00140,setl_99_008,UTR9900087207,payment,5555.00,111.10,20.00,2026-06-17,ord_99_00140,card
pay_99_00141,setl_99_008,UTR9900087207,payment,3669.75,73.40,13.21,2026-06-17,ord_99_00141,upi
pay_99_00142,setl_99_008,UTR9900087207,payment,1185.00,23.70,4.27,2026-06-17,ord_99_00142,upi
pay_99_00143,setl_99_008,UTR9900087207,payment,5136.75,102.74,18.49,2026-06-17,ord_99_00143,upi
pay_99_00144,setl_99_008,UTR9900087207,payment,1381.50,27.63,4.97,2026-06-17,ord_99_00144,upi
pay_99_00145,setl_99_008,UTR9900087207,payment,10147.25,202.94,36.53,2026-06-17,ord_99_00145,card
pay_99_00146,setl_99_008,UTR9900087207,payment,6468.25,129.36,23.28,2026-06-17,ord_99_00146,upi
pay_99_00147,setl_99_008,UTR9900087207,payment,8957.00,179.14,32.25,2026-06-17,ord_99_00147,card
pay_99_00149,setl_99_008,UTR9900087207,payment,10868.50,217.37,39.13,2026-06-17,ord_99_00149,upi
pay_99_00150,setl_99_008,UTR9900087207,payment,9832.75,196.66,35.40,2026-06-17,ord_99_00150,card
pay_99_00151,setl_99_008,UTR9900087207,payment,415.25,8.30,1.49,2026-06-17,ord_99_00151,card
pay_99_00152,setl_99_008,UTR9900087207,payment,11324.99,226.50,40.77,2026-06-17,ord_99_00152,upi
pay_99_00153,setl_99_008,UTR9900087207,payment,5451.49,109.03,19.63,2026-06-17,ord_99_00153,netbanking
pay_99_00154,setl_99_008,UTR9900087207,payment,10633.50,212.67,38.28,2026-06-17,ord_99_00154,upi
rfnd_99_00155,setl_99_008,UTR9900087207,refund,2658.38,0.00,0.00,2026-06-17,ord_99_00154,card
pay_99_00156,setl_99_009,UTR9900092801,payment,10085.99,302.58,54.46,2026-06-19,ord_99_00156,intl_card
pay_99_00157,setl_99_009,UTR9900092801,payment,2484.99,49.70,8.95,2026-06-19,ord_99_00157,upi
pay_99_00158,setl_99_009,UTR9900092801,payment,1827.49,36.55,6.58,2026-06-19,ord_99_00158,card
pay_99_00159,setl_99_009,UTR9900092801,payment,430.00,8.60,1.55,2026-06-19,ord_99_00159,card
pay_99_00160,setl_99_009,UTR9900092801,payment,6331.75,126.64,22.80,2026-06-19,ord_99_00160,upi
rfnd_99_00161,setl_99_009,UTR9900092801,refund,6331.75,0.00,0.00,2026-06-19,ord_99_00160,card
pay_99_00162,setl_99_009,UTR9900092801,payment,6819.00,136.38,24.55,2026-06-19,ord_99_00162,upi
pay_99_00163,setl_99_009,UTR9900092801,payment,8965.00,179.30,32.27,2026-06-19,ord_99_00163,card
pay_99_00164,setl_99_009,UTR9900092801,payment,2477.75,74.33,13.38,2026-06-19,ord_99_00164,intl_card
pay_99_00165,setl_99_009,UTR9900092801,payment,9902.75,198.06,35.65,2026-06-19,ord_99_00165,card
pay_99_00166,setl_99_009,UTR9900092801,payment,10561.00,211.22,38.02,2026-06-19,ord_99_00166,card
pay_99_00167,setl_99_009,UTR9900092801,payment,9912.99,198.26,35.69,2026-06-19,ord_99_00167,card
pay_99_00168,setl_99_009,UTR9900092801,payment,2260.00,67.80,12.20,2026-06-19,ord_99_00168,intl_card
pay_99_00169,setl_99_009,UTR9900092801,payment,9773.00,195.46,35.18,2026-06-19,ord_99_00169,upi
pay_99_00170,setl_99_009,UTR9900092801,payment,3068.00,61.36,11.04,2026-06-19,ord_99_00170,upi
pay_99_00171,setl_99_009,UTR9900092801,payment,3405.49,68.11,12.26,2026-06-19,ord_99_00171,upi
pay_99_00172,setl_99_009,UTR9900092801,payment,5764.00,115.28,20.75,2026-06-19,ord_99_00172,upi
pay_99_00173,setl_99_009,UTR9900092801,payment,9104.49,273.13,49.16,2026-06-19,ord_99_00173,intl_card
pay_99_00174,setl_99_009,UTR9900092801,payment,6843.00,136.86,24.63,2026-06-19,ord_99_00174,upi
pay_99_00175,setl_99_009,UTR9900092801,payment,8770.00,175.40,31.57,2026-06-19,ord_99_00175,card
pay_99_00176,setl_99_010,UTR9900104327,payment,4965.00,99.30,17.87,2026-06-21,ord_99_00176,upi
pay_99_00177,setl_99_010,UTR9900104327,payment,6818.00,136.36,24.54,2026-06-21,ord_99_00177,upi
pay_99_00178,setl_99_010,UTR9900104327,payment,10193.00,203.86,36.69,2026-06-21,ord_99_00178,upi
pay_99_00179,setl_99_010,UTR9900104327,payment,5686.49,113.73,20.47,2026-06-21,ord_99_00179,netbanking
