bank_txn_id,credit_amount,value_date,narration,utr
bank_7_000_0,229203.00,2026-06-02,NEFT-UTR700001791-RAZORPAY SOFTWARE PVT LTD,UTR700001791
bank_7_001_0,230596.02,2026-06-03,IMPS AXIS REF UTR700018109 CR PROC CHG,UTR700018109
bank_7_001_1,230596.01,2026-06-04,IMPS AXIS REF UTR700018109 CR PROC CHG,UTR700018109
bank_7_002_0,58494.01,2026-06-05,MERCHANT SETTLEMENT CREDIT,
bank_7_003_0,184640.49,2026-06-08,NEFT-UTR700031907-RAZORPAY SOFTWARE PVT LTD,
bank_7_003_1,184640.49,2026-06-09,NEFT-UTR700031907-RAZORPAY SOFTWARE PVT LTD,
bank_7_004_0,387883.44,2026-06-12,MERCHANT SETTLEMENT CREDIT,
bank_7_004_1,387883.44,2026-06-13,MERCHANT SETTLEMENT CREDIT,
bank_7_005_0,646106.40,2026-06-12,NEFT-UTR700057884-RAZORPAY SOFTWARE PVT LTD,UTR700057884
bank_7_006_0,49431.16,2026-06-15,UPI/UTR700067635/SETTLEMENT/RAZORPAY,UTR700067635
bank_7_007_0,451777.57,2026-06-16,NEFT-UTR700072310-RAZORPAY SOFTWARE PVT LTD,UTR700072310
bank_7_008_0,866717.84,2026-06-18,NEFT-UTR700081554-RAZORPAY SOFTWARE PVT LTD,UTR700081554
bank_7_009_0,529611.56,2026-06-22,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,
bank_7_010_0,713110.26,2026-06-23,KKBK NEFT REF 700108783 RAZORPAY SOFTWARE SETTLEMENT,UTR700108783
bank_7_011_0,504480.38,2026-06-23,IMPS AXIS REF UTR700113144 CR PROC CHG,UTR700113144
bank_7_012_0,775380.35,2026-06-26,NEFT-UTR700122999-RAZORPAY SOFTWARE PVT LTD,UTR700122999
bank_7_013_0,509061.93,2026-07-01,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR700132819 SVC CHG,UTR700132819
bank_7_013_1,509061.93,2026-07-02,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR700132819 SVC CHG,UTR700132819
bank_7_014_0,278149.99,2026-07-01,UPI/UTR700143900/SETTLEMENT/RAZORPAY,UTR700143900
bank_7_015_0,86224.44,2026-07-03,UPI/UTR700155743/SETTLEMENT/RAZORPAY,UTR700155743
bank_7_016_0,379091.54,2026-07-06,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR700164491 SVC CHG,
bank_7_017_0,706806.00,2026-07-05,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,
bank_7_018_0,401754.81,2026-07-09,UPI/UTR700188422/SETTLEMENT/RAZORPAY,UTR700188422
bank_7_019_0,751028.85,2026-07-11,KKBK NEFT REF 700194893 RAZORPAY SOFTWARE SETTLEMENT,
bank_7_020_0,633624.30,2026-07-14,MERCHANT SETTLEMENT CREDIT,
bank_7_021_0,302876.00,2026-07-16,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR700213698 SVC CHG,UTR700213698
bank_7_022_0,102980.59,2026-07-15,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,
bank_7_023_0,340868.90,2026-07-18,NEFT-UTR700239247-RAZORPAY SOFTWARE PVT LTD,UTR700239247
bank_7_024_0,1431892.59,2026-07-22,RTGS RCVD FRM RAZORPAY SOFTWARE UTR UTR700244928 SVC CHG,UTR700244928
