order_id,txn_id,gross_amount,created_at,status
ord_7_00001,pay_7_00001,5489.25,2026-05-30,captured
ord_7_00002,pay_7_00002,5000.00,2026-05-30,captured
ord_7_00004,pay_7_00004,121.00,2026-05-30,captured
ord_7_00006,pay_7_00006,53.00,2026-05-30,captured
ord_7_00007,pay_7_00007,5000.00,2026-05-30,captured
ord_7_00008,pay_7_00008,4000.00,2026-05-30,captured
ord_7_00009,pay_7_00009,25855.49,2026-05-30,captured
ord_7_00011,pay_7_00011,16188.99,2026-05-30,captured
ord_7_00012,pay_7_00012,500.00,2026-05-30,captured
ord_7_00013,pay_7_00013,446.00,2026-05-30,captured
ord_7_00014,pay_7_00014,500.00,2026-05-30,captured
ord_7_00016,pay_7_00016,7381.00,2026-05-30,captured
ord_7_00017,pay_7_00017,147633.75,2026-05-30,captured
ord_7_00018,pay_7_00018,200.00,2026-05-30,captured
ord_7_00019,pay_7_00019,6000.00,2026-05-30,captured
ord_7_00020,pay_7_00020,69.00,2026-05-30,captured
ord_7_00021,pay_7_00021,1010.99,2026-05-30,captured
ord_7_00022,pay_7_00022,5000.00,2026-05-30,captured
ord_7_00023,pay_7_00023,199.00,2026-05-30,captured
ord_7_00025,pay_7_00025,197.49,2026-05-30,captured
ord_7_00026,pay_7_00026,8000.00,2026-05-30,captured
ord_7_00028,pay_7_00028,7000.00,2026-06-01,captured
ord_7_00029,pay_7_00029,76216.00,2026-06-01,captured
ord_7_00031,pay_7_00031,500.00,2026-06-01,captured
ord_7_00032,pay_7_00032,99762.00,2026-06-01,captured
ord_7_00033,pay_7_00033,900.00,2026-06-01,captured
ord_7_00034,pay_7_00034,12327.00,2026-06-01,captured
ord_7_00035,pay_7_00035,3000.00,2026-06-01,captured
ord_7_00036,pay_7_00036,10867.00,2026-06-01,captured
ord_7_00037,pay_7_00037,285013.25,2026-06-01,captured
ord_7_00038,pay_7_00038,351.00,2026-06-03,captured
ord_7_00039,pay_7_00039,144.50,2026-06-03,captured
ord_7_00040,pay_7_00040,6000.00,2026-06-03,captured
ord_7_00041,pay_7_00041,2000.00,2026-06-03,captured
ord_7_00042,pay_7_00042,5527.49,2026-06-03,captured
ord_7_00044,pay_7_00044,72690.00,2026-06-03,captured
ord_7_00046,pay_7_00046,9000.00,2026-06-03,captured
ord_7_00047,pay_7_00047,8000.00,2026-06-03,captured
