entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_7_00001,payment,0,548925,548925,INR,10978,1976,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00001,,ord_7_00001,,card,,,,
pay_7_00002,payment,0,500000,500000,INR,10000,1800,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00002,,ord_7_00002,,upi,,,,
rfnd_7_00003,refund,500000,0,500000,INR,0,0,false,true,1780272000,1780272000,setl_7_000,1780272000,refund settled,,rfnd_7_00003,,ord_7_00002,,card,,,,
pay_7_00004,payment,0,12100,12100,INR,242,44,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00004,,ord_7_00004,,card,,,,
pay_7_00006,payment,0,5300,5300,INR,106,19,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00006,,ord_7_00006,,card,,,,
pay_7_00007,payment,0,500000,500000,INR,10000,1800,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00007,,ord_7_00007,,upi,,,,
pay_7_00008,payment,0,400000,400000,INR,8000,1440,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00008,,ord_7_00008,,upi,,,,
pay_7_00009,payment,0,2585549,2585549,INR,51711,9308,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00009,,ord_7_00009,,card,,,,
rfnd_7_00010,refund,646387,0,646387,INR,0,0,false,true,1780272000,1780272000,setl_7_000,1780272000,refund settled,,rfnd_7_00010,,ord_7_00009,,card,,,,
pay_7_00011,payment,0,1618899,1618899,INR,32378,5828,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00011,,ord_7_00011,,netbanking,,,,
pay_7_00012,payment,0,50000,50000,INR,1000,180,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00012,,ord_7_00012,,upi,,,,
pay_7_00013,payment,0,44600,44600,INR,892,161,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00013,,ord_7_00013,,netbanking,,,,
pay_7_00014,payment,0,50000,50000,INR,1000,180,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00014,,ord_7_00014,,upi,,,,
hold_7_00015,payment,25000,0,25000,INR,0,0,true,true,1780272000,1780272000,setl_7_000,1780272000,chargeback_hold settled,,hold_7_00015,,ord_7_00014,,upi,,,,
pay_7_00016,payment,0,738100,738100,INR,14762,2657,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00016,,ord_7_00016,,card,,,,
pay_7_00017,payment,0,14763375,14763375,INR,295268,53148,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00017,,ord_7_00017,,card,,,,
pay_7_00018,payment,0,20000,20000,INR,460,83,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00018,,ord_7_00018,,upi,,,,
pay_7_00019,payment,0,600000,600000,INR,12000,2160,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00019,,ord_7_00019,,upi,,,,
pay_7_00020,payment,0,6900,6900,INR,138,25,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00020,,ord_7_00020,,card,,,,
pay_7_00021,payment,0,101099,101099,INR,2022,364,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00021,,ord_7_00021,,card,,,,
pay_7_00022,payment,0,500000,500000,INR,10000,1800,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00022,,ord_7_00022,,upi,,,,
pay_7_00023,payment,0,19900,19900,INR,398,72,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00023,,ord_7_00023,,netbanking,,,,
rfnd_7_00024,refund,9950,0,9950,INR,0,0,false,true,1780272000,1780272000,setl_7_000,1780272000,refund settled,,rfnd_7_00024,,ord_7_00023,,card,,,,
pay_7_00025,payment,0,19749,19749,INR,592,107,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00025,,ord_7_00025,,intl_card,,,,
pay_7_00026,payment,0,800000,800000,INR,16000,2880,false,true,1780272000,1780272000,setl_7_000,1780272000,payment settled,,pay_7_00026,,ord_7_00026,,upi,,,,
