txn_id,settlement_batch_id,utr,txn_type,gross_amount,fee,gst_on_fee,settled_on,order_id,method
pay_7_00001,setl_7_000,,payment,5489.25,109.78,19.76,2026-06-01,ord_7_00001,card
pay_7_00002,setl_7_000,,payment,5000.00,100.00,18.00,2026-06-01,ord_7_00002,upi
rfnd_7_00003,setl_7_000,,refund,5000.00,0.00,0.00,2026-06-01,ord_7_00002,card
pay_7_00004,setl_7_000,,payment,121.00,2.42,0.44,2026-06-01,ord_7_00004,card
pay_7_00006,setl_7_000,,payment,53.00,1.06,0.19,2026-06-01,ord_7_00006,card
pay_7_00007,setl_7_000,,payment,5000.00,100.00,18.00,2026-06-01,ord_7_00007,upi
pay_7_00008,setl_7_000,,payment,4000.00,80.00,14.40,2026-06-01,ord_7_00008,upi
pay_7_00009,setl_7_000,,payment,25855.49,517.11,93.08,2026-06-01,ord_7_00009,card
rfnd_7_00010,setl_7_000,,refund,6463.87,0.00,0.00,2026-06-01,ord_7_00009,card
pay_7_00011,setl_7_000,,payment,16188.99,323.78,58.28,2026-06-01,ord_7_00011,netbanking
pay_7_00012,setl_7_000,,payment,500.00,10.00,1.80,2026-06-01,ord_7_00012,upi
pay_7_00013,setl_7_000,,payment,446.00,8.92,1.61,2026-06-01,ord_7_00013,netbanking
pay_7_00014,setl_7_000,,payment,500.00,10.00,1.80,2026-06-01,ord_7_00014,upi
hold_7_00015,setl_7_000,,chargeback_hold,250.00,0.00,0.00,2026-06-01,ord_7_00014,upi
pay_7_00016,setl_7_000,,payment,7381.00,147.62,26.57,2026-06-01,ord_7_00016,card
pay_7_00017,setl_7_000,,payment,147633.75,2952.68,531.48,2026-06-01,ord_7_00017,card
pay_7_00018,setl_7_000,,payment,200.00,4.60,0.83,2026-06-01,ord_7_00018,upi
pay_7_00019,setl_7_000,,payment,6000.00,120.00,21.60,2026-06-01,ord_7_00019,upi
pay_7_00020,setl_7_000,,payment,69.00,1.38,0.25,2026-06-01,ord_7_00020,card
pay_7_00021,setl_7_000,,payment,1010.99,20.22,3.64,2026-06-01,ord_7_00021,card
pay_7_00022,setl_7_000,,payment,5000.00,100.00,18.00,2026-06-01,ord_7_00022,upi
pay_7_00023,setl_7_000,,payment,199.00,3.98,0.72,2026-06-01,ord_7_00023,netbanking
rfnd_7_00024,setl_7_000,,refund,99.50,0.00,0.00,2026-06-01,ord_7_00023,card
pay_7_00025,setl_7_000,,payment,197.49,5.92,1.07,2026-06-01,ord_7_00025,intl_card
pay_7_00026,setl_7_000,,payment,8000.00,160.00,28.80,2026-06-01,ord_7_00026,upi
pay_7_00027,setl_7_000,,payment,8000.00,160.00,28.80,2026-06-01,ord_7_00026,card
rfnd_7_00005,setl_7_001,UTR700018109,refund,30.25,0.00,0.00,2026-06-03,ord_7_00004,card
pay_7_00028,setl_7_001,UTR700018109,payment,7000.00,140.00,25.20,2026-06-03,ord_7_00028,upi
pay_7_00029,setl_7_001,UTR700018109,payment,76216.00,1524.32,274.38,2026-06-03,ord_7_00029,card
rfnd_7_00030,setl_7_001,UTR700018109,refund,19054.00,0.00,0.00,2026-06-03,ord_7_00029,card
pay_7_00031,setl_7_001,UTR700018109,payment,500.00,10.00,1.80,2026-06-03,ord_7_00031,upi
pay_7_00032,setl_7_001,UTR700018109,payment,99762.00,1995.24,359.14,2026-06-03,ord_7_00032,netbanking
pay_7_00033,setl_7_001,UTR700018109,payment,900.00,18.00,3.24,2026-06-03,ord_7_00033,upi
pay_7_00034,setl_7_001,UTR700018109,payment,12327.00,246.54,44.38,2026-06-03,ord_7_00034,card
pay_7_00035,setl_7_001,UTR700018109,payment,3000.00,60.00,10.80,2026-06-03,ord_7_00035,upi
pay_7_00036,setl_7_001,UTR700018109,payment,10867.00,217.34,39.12,2026-06-03,ord_7_00036,card
pay_7_00037,setl_7_001,UTR700018109,payment,285013.25,8550.40,1539.07,2026-06-03,ord_7_00037,intl_card
pay_7_00038,setl_7_002,,payment,351.00,10.53,1.90,2026-06-05,ord_7_00038,intl_card
pay_7_00039,setl_7_002,,payment,144.50,4.34,0.78,2026-06-05,ord_7_00039,intl_card
pay_7_00040,setl_7_002,,payment,6000.00,120.00,21.60,2026-06-05,ord_7_00040,upi
pay_7_00041,setl_7_002,,payment,2000.00,40.00,7.20,2026-06-05,ord_7_00041,upi
pay_7_00042,setl_7_002,,payment,5527.49,110.55,19.90,2026-06-05,ord_7_00042,card
rfnd_7_00043,setl_7_002,,refund,5527.49,0.00,0.00,2026-06-05,ord_7_00042,card
pay_7_00044,setl_7_002,,payment,72690.00,1453.80,261.68,2026-06-05,ord_7_00044,card
hold_7_00045,setl_7_002,,chargeback_hold,36345.00,0.00,0.00,2026-06-05,ord_7_00044,card
pay_7_00046,setl_7_002,,payment,9000.00,180.00,32.40,2026-06-05,ord_7_00046,upi
pay_7_00047,setl_7_002,,payment,8000.00,160.00,28.80,2026-06-05,ord_7_00047,upi
rfnd_7_00048,setl_7_002,,refund,2000.00,0.00,0.00,2026-06-05,ord_7_00047,card
pay_7_00049,setl_7_002,,payment,800.00,16.00,2.88,2026-06-05,ord_7_00049,upi
pay_7_00050,setl_7_002,,payment,597.00,17.91,3.22,2026-06-05,ord_7_00050,intl_card
pay_7_00051,setl_7_003,UTR700031907,payment,106864.75,2137.30,384.71,2026-06-07,ord_7_00051,card
pay_7_00052,setl_7_003,UTR700031907,payment,31.25,0.94,0.17,2026-06-07,ord_7_00052,intl_card
pay_7_00053,setl_7_003,UTR700031907,payment,5000.00,100.00,18.00,2026-06-07,ord_7_00053,upi
pay_7_00054,setl_7_003,UTR700031907,payment,5000.00,100.00,18.00,2026-06-07,ord_7_00054,upi
pay_7_00055,setl_7_003,UTR700031907,payment,154350.50,3087.01,555.66,2026-06-07,ord_7_00055,card
pay_7_00056,setl_7_003,UTR700031907,payment,31317.49,626.35,112.74,2026-06-07,ord_7_00056,card
pay_7_00057,setl_7_003,UTR700031907,payment,74876.75,1497.54,269.56,2026-06-07,ord_7_00057,card
rfnd_7_00058,setl_7_003,UTR700031907,refund,18719.19,0.00,0.00,2026-06-07,ord_7_00057,card
pay_7_00059,setl_7_003,UTR700031907,payment,83.75,1.68,0.30,2026-06-07,ord_7_00059,card
pay_7_00060,setl_7_003,UTR700031907,payment,59.49,1.19,0.21,2026-06-07,ord_7_00060,netbanking
pay_7_00061,setl_7_003,UTR700031907,payment,4000.00,80.00,14.40,2026-06-07,ord_7_00061,upi
pay_7_00062,setl_7_003,UTR700031907,payment,5000.00,100.00,18.00,2026-06-07,ord_7_00062,upi
hold_7_00063,setl_7_003,UTR700031907,chargeback_hold,2500.00,0.00,0.00,2026-06-07,ord_7_00062,upi
pay_7_00064,setl_7_003,UTR700031907,payment,4000.00,80.00,14.40,2026-06-07,ord_7_00064,upi
pay_7_00065,setl_7_003,UTR700031907,payment,620.00,21.70,3.91,2026-06-07,ord_7_00065,intl_card
pay_7_00066,setl_7_003,UTR700031907,payment,300.00,6.00,1.08,2026-06-07,ord_7_00066,upi
pay_7_00067,setl_7_003,UTR700031907,payment,4000.00,80.00,14.40,2026-06-07,ord_7_00067,upi
pay_7_00068,setl_7_003,UTR700031907,payment,600.00,12.00,2.16,2026-06-07,ord_7_00068,upi
rfnd_7_00069,setl_7_003,UTR700031907,refund,150.00,0.00,0.00,2026-06-07,ord_7_00068,card
pay_7_00070,setl_7_003,UTR700031907,payment,1500.00,30.00,5.40,2026-06-07,ord_7_00070,upi
pay_7_00071,setl_7_003,UTR700031907,payment,2500.00,50.00,9.00,2026-06-07,ord_7_00071,upi
pay_7_00072,setl_7_004,UTR700047731,payment,45161.99,903.24,162.58,2026-06-09,ord_7_00072,netbanking
pay_7_00073,setl_7_004,UTR700047731,payment,360.99,10.83,1.95,2026-06-09,ord_7_00073,intl_card
pay_7_00074,setl_7_004,UTR700047731,payment,144.00,2.88,0.52,2026-06-09,ord_7_00074,card
pay_7_00075,setl_7_004,UTR700047731,payment,6000.00,120.00,21.60,2026-06-09,ord_7_00075,upi
pay_7_00076,setl_7_004,UTR700047731,payment,1658.50,33.17,5.97,2026-06-09,ord_7_00076,card
pay_7_00077,setl_7_004,UTR700047731,payment,23795.49,475.91,85.66,2026-06-09,ord_7_00077,card
pay_7_00078,setl_7_004,UTR700047731,payment,319541.75,6390.84,1150.35,2026-06-09,ord_7_00078,netbanking
pay_7_00079,setl_7_004,UTR700047731,payment,4500.00,90.00,16.20,2026-06-09,ord_7_00079,upi
pay_7_00080,setl_7_004,UTR700047731,payment,283107.99,5662.16,1019.19,2026-06-09,ord_7_00080,card
pay_7_00082,setl_7_004,UTR700047731,payment,15934.25,478.03,86.05,2026-06-09,ord_7_00082,intl_card
pay_7_00083,setl_7_004,UTR700047731,payment,5000.00,150.00,27.00,2026-06-09,ord_7_00083,upi
pay_7_00084,setl_7_004,UTR700047731,payment,3046.00,60.92,10.97,2026-06-09,ord_7_00084,card
pay_7_00085,setl_7_004,UTR700047731,payment,3500.00,70.00,12.60,2026-06-09,ord_7_00085,upi
pay_7_00086,setl_7_004,UTR700047731,payment,69535.99,1390.72,250.33,2026-06-09,ord_7_00086,netbanking
pay_7_00087,setl_7_004,UTR700047731,payment,8000.00,160.00,28.80,2026-06-09,ord_7_00087,upi
pay_7_00088,setl_7_004,UTR700047731,payment,2000.00,40.00,7.20,2026-06-09,ord_7_00088,upi
pay_7_00089,setl_7_004,UTR700047731,payment,4000.00,80.00,14.40,2026-06-09,ord_7_00089,upi
pay_7_00090,setl_7_005,UTR700057884,payment,2500.00,50.00,9.00,2026-06-11,ord_7_00090,upi
pay_7_00091,setl_7_005,UTR700057884,payment,700.00,14.00,2.52,2026-06-11,ord_7_00091,upi
pay_7_00092,setl_7_005,UTR700057884,payment,3000.00,60.00,10.80,2026-06-11,ord_7_00092,upi
pay_7_00093,setl_7_005,UTR700057884,payment,437.00,8.74,1.57,2026-06-11,ord_7_00093,card
rfnd_7_00094,setl_7_005,UTR700057884,refund,109.25,0.00,0.00,2026-06-11,ord_7_00093,card
pay_7_00095,setl_7_005,UTR700057884,payment,319438.50,6388.77,1149.98,2026-06-11,ord_7_00095,card
pay_7_00097,setl_7_005,UTR700057884,payment,3000.00,60.00,10.80,2026-06-11,ord_7_00097,upi
pay_7_00098,setl_7_005,UTR700057884,payment,56.00,1.12,0.20,2026-06-11,ord_7_00098,card
pay_7_00099,setl_7_005,UTR700057884,payment,227.50,4.55,0.82,2026-06-11,ord_7_00099,card
pay_7_00100,setl_7_005,UTR700057884,payment,43148.75,862.98,155.34,2026-06-11,ord_7_00100,card
pay_7_00101,setl_7_005,UTR700057884,payment,500.00,10.00,1.80,2026-06-11,ord_7_00101,upi
pay_7_00102,setl_7_005,UTR700057884,payment,4158.00,83.16,14.97,2026-06-11,ord_7_00102,card
hold_7_00103,setl_7_005,UTR700057884,chargeback_hold,2079.00,0.00,0.00,2026-06-11,ord_7_00102,card
pay_7_00104,setl_7_005,UTR700057884,payment,500.00,10.00,1.80,2026-06-11,ord_7_00104,upi
pay_7_00105,setl_7_005,UTR700057884,payment,136075.50,2721.51,489.87,2026-06-11,ord_7_00105,card
pay_7_00106,setl_7_005,UTR700057884,payment,136075.50,2721.51,489.87,2026-06-11,ord_7_00105,card
pay_7_00107,setl_7_005,UTR700057884,payment,2500.00,50.00,9.00,2026-06-11,ord_7_00107,upi
pay_7_00108,setl_7_005,UTR700057884,payment,500.00,10.00,1.80,2026-06-11,ord_7_00108,upi
pay_7_00109,setl_7_005,UTR700057884,payment,14984.00,299.68,53.94,2026-06-11,ord_7_00109,card
rfnd_7_00110,setl_7_005,UTR700057884,refund,3746.00,0.00,0.00,2026-06-11,ord_7_00109,card
pay_7_00111,setl_7_006,,payment,1500.00,30.00,5.40,2026-06-13,ord_7_00111,upi
pay_7_00112,setl_7_006,,payment,6000.00,120.00,21.60,2026-06-13,ord_7_00112,upi
rfnd_7_00113,setl_7_006,,refund,3000.00,0.00,0.00,2026-06-13,ord_7_00112,card
pay_7_00114,setl_7_006,,payment,400.00,8.00,1.44,2026-06-13,ord_7_00114,upi
pay_7_00115,setl_7_006,,payment,12477.75,249.56,44.92,2026-06-13,ord_7_00115,netbanking
pay_7_00116,setl_7_006,,payment,900.00,18.00,3.24,2026-06-13,ord_7_00116,upi
rfnd_7_00117,setl_7_006,,refund,225.00,0.00,0.00,2026-06-13,ord_7_00116,card
pay_7_00118,setl_7_006,,payment,20666.99,413.34,74.40,2026-06-13,ord_7_00118,netbanking
pay_7_00119,setl_7_006,,payment,3000.00,60.00,10.80,2026-06-13,ord_7_00119,upi
pay_7_00120,setl_7_006,,payment,3000.00,60.00,10.80,2026-06-13,ord_7_00119,card
pay_7_00121,setl_7_006,,payment,12264.75,245.30,44.15,2026-06-13,ord_7_00121,card
rfnd_7_00122,setl_7_006,,refund,6132.38,0.00,0.00,2026-06-13,ord_7_00121,card
pay_7_00123,setl_7_007,UTR700072310,payment,4023.50,80.47,14.48,2026-06-15,ord_7_00123,card
rfnd_7_00124,setl_7_007,UTR700072310,refund,4023.50,0.00,0.00,2026-06-15,ord_7_00123,card
pay_7_00125,setl_7_007,UTR700072310,payment,3578.75,71.58,12.88,2026-06-15,ord_7_00125,netbanking
pay_7_00126,setl_7_007,UTR700072310,payment,800.00,16.00,2.88,2026-06-15,ord_7_00126,upi
pay_7_00127,setl_7_007,UTR700072310,payment,4000.00,80.00,14.40,2026-06-15,ord_7_00127,upi
pay_7_00129,setl_7_007,UTR700072310,payment,126091.75,2521.84,453.93,2026-06-15,ord_7_00129,card
pay_7_00130,setl_7_007,UTR700072310,payment,6000.00,120.00,21.60,2026-06-15,ord_7_00130,upi
pay_7_00131,setl_7_007,UTR700072310,payment,6000.00,138.00,24.84,2026-06-15,ord_7_00131,upi
pay_7_00132,setl_7_007,UTR700072310,payment,200.00,4.00,0.72,2026-06-15,ord_7_00132,upi
pay_7_00133,setl_7_007,UTR700072310,payment,800.00,16.00,2.88,2026-06-15,ord_7_00133,upi
pay_7_00134,setl_7_007,UTR700072310,payment,500.00,10.00,1.80,2026-06-15,ord_7_00134,upi
pay_7_00135,setl_7_007,UTR700072310,payment,200.00,4.00,0.72,2026-06-15,ord_7_00135,upi
rfnd_7_00136,setl_7_007,UTR700072310,refund,50.00,0.00,0.00,2026-06-15,ord_7_00135,card
pay_7_00137,setl_7_007,UTR700072310,payment,9000.00,180.00,32.40,2026-06-15,ord_7_00137,upi
pay_7_00139,setl_7_007,UTR700072310,payment,170542.75,3410.86,613.95,2026-06-15,ord_7_00139,card
pay_7_00140,setl_7_007,UTR700072310,payment,200.00,4.00,0.72,2026-06-15,ord_7_00140,upi
pay_7_00141,setl_7_007,UTR700072310,payment,6533.50,130.67,23.52,2026-06-15,ord_7_00141,card
pay_7_00143,setl_7_007,UTR700072310,payment,377.00,7.54,1.36,2026-06-15,ord_7_00143,netbanking
pay_7_00144,setl_7_007,UTR700072310,payment,1199.75,24.00,4.32,2026-06-15,ord_7_00144,card
pay_7_00145,setl_7_007,UTR700072310,payment,125156.50,3754.70,675.85,2026-06-15,ord_7_00145,intl_card
pay_7_00146,setl_7_007,UTR700072310,payment,3000.00,60.00,10.80,2026-06-15,ord_7_00146,upi
pay_7_00147,setl_7_007,UTR700072310,payment,200.00,4.00,0.72,2026-06-15,ord_7_00147,upi
rfnd_7_00128,setl_7_008,UTR700081554,refund,1000.00,0.00,0.00,2026-06-17,ord_7_00127,card
rfnd_7_00138,setl_7_008,UTR700081554,refund,2250.00,0.00,0.00,2026-06-17,ord_7_00137,card
